Student_ID,Assignment_ID,Subject,Submitted,Submission_Delay,Score
STU0001,ASSIGN0001,Mathematics,Yes,2,96
STU0001,ASSIGN0002,Physics,Yes,4,100
STU0001,ASSIGN0003,Mathematics,No,11,2
STU0001,ASSIGN0004,Biology,Yes,3,54
STU0001,ASSIGN0005,Mathematics,Yes,0,73
STU0002,ASSIGN0006,Biology,Yes,0,54
STU0002,ASSIGN0007,Biology,Yes,3,52
STU0002,ASSIGN0008,Mathematics,No,12,28
STU0002,ASSIGN0009,Biology,No,12,6
STU0002,ASSIGN0010,Chemistry,Yes,2,64
STU0003,ASSIGN0011,Biology,No,8,24
STU0003,ASSIGN0012,Chemistry,Yes,1,52
STU0003,ASSIGN0013,Chemistry,No,11,39
STU0003,ASSIGN0014,Physics,Yes,5,59
STU0003,ASSIGN0015,Mathematics,Yes,5,70
STU0004,ASSIGN0016,Biology,No,8,33
STU0004,ASSIGN0017,Chemistry,No,14,38
STU0004,ASSIGN0018,Biology,No,9,31
STU0004,ASSIGN0019,Chemistry,No,11,32
STU0004,ASSIGN0020,Biology,No,13,33
STU0005,ASSIGN0021,Chemistry,No,13,5
STU0005,ASSIGN0022,Biology,No,6,17
STU0005,ASSIGN0023,Biology,Yes,2,62
STU0005,ASSIGN0024,Biology,Yes,1,78
STU0005,ASSIGN0025,Chemistry,Yes,1,47
STU0006,ASSIGN0026,Mathematics,No,13,9
STU0006,ASSIGN0027,Chemistry,Yes,5,58
STU0006,ASSIGN0028,Physics,No,13,4
STU0006,ASSIGN0029,Chemistry,Yes,0,86
STU0006,ASSIGN0030,Chemistry,No,14,13
STU0007,ASSIGN0031,Biology,No,12,4
STU0007,ASSIGN0032,Mathematics,No,9,3
STU0007,ASSIGN0033,Mathematics,No,15,25
STU0007,ASSIGN0034,Biology,No,6,19
STU0007,ASSIGN0035,Chemistry,Yes,0,70
STU0008,ASSIGN0036,Mathematics,No,7,32
STU0008,ASSIGN0037,Mathematics,No,7,2
STU0008,ASSIGN0038,Mathematics,No,10,24
STU0008,ASSIGN0039,Mathematics,Yes,5,70
STU0008,ASSIGN0040,Biology,Yes,3,98
STU0009,ASSIGN0041,Chemistry,No,13,14
STU0009,ASSIGN0042,Biology,No,13,5
STU0009,ASSIGN0043,Physics,No,11,0
STU0009,ASSIGN0044,Mathematics,Yes,4,66
STU0009,ASSIGN0045,Mathematics,Yes,5,73
STU0010,ASSIGN0046,Chemistry,No,11,28
STU0010,ASSIGN0047,Biology,No,15,34
STU0010,ASSIGN0048,Chemistry,No,7,33
STU0010,ASSIGN0049,Physics,Yes,3,88
STU0010,ASSIGN0050,Biology,Yes,1,67
STU0011,ASSIGN0051,Mathematics,Yes,2,56
STU0011,ASSIGN0052,Chemistry,No,8,29
STU0011,ASSIGN0053,Biology,No,15,35
STU0011,ASSIGN0054,Chemistry,Yes,3,93
STU0011,ASSIGN0055,Biology,Yes,1,82
STU0012,ASSIGN0056,Physics,No,6,22
STU0012,ASSIGN0057,Mathematics,No,12,6
STU0012,ASSIGN0058,Mathematics,Yes,1,52
STU0012,ASSIGN0059,Chemistry,Yes,2,69
STU0012,ASSIGN0060,Biology,No,14,16
STU0013,ASSIGN0061,Biology,Yes,3,66
STU0013,ASSIGN0062,Mathematics,Yes,0,73
STU0013,ASSIGN0063,Biology,Yes,5,62
STU0013,ASSIGN0064,Physics,Yes,2,68
STU0013,ASSIGN0065,Mathematics,Yes,4,100
STU0014,ASSIGN0066,Physics,Yes,1,79
STU0014,ASSIGN0067,Physics,No,6,30
STU0014,ASSIGN0068,Biology,No,10,24
STU0014,ASSIGN0069,Chemistry,Yes,5,57
STU0014,ASSIGN0070,Mathematics,Yes,4,56
STU0015,ASSIGN0071,Biology,No,10,24
STU0015,ASSIGN0072,Mathematics,No,6,5
STU0015,ASSIGN0073,Mathematics,Yes,3,93
STU0015,ASSIGN0074,Mathematics,No,7,8
STU0015,ASSIGN0075,Chemistry,No,7,1
STU0016,ASSIGN0076,Chemistry,No,8,24
STU0016,ASSIGN0077,Chemistry,Yes,5,76
STU0016,ASSIGN0078,Biology,No,9,4
STU0016,ASSIGN0079,Physics,Yes,3,43
STU0016,ASSIGN0080,Physics,Yes,2,46
STU0017,ASSIGN0081,Biology,Yes,2,62
STU0017,ASSIGN0082,Chemistry,No,11,10
STU0017,ASSIGN0083,Physics,Yes,2,72
STU0017,ASSIGN0084,Physics,No,12,23
STU0017,ASSIGN0085,Biology,Yes,1,53
STU0018,ASSIGN0086,Chemistry,Yes,4,51
STU0018,ASSIGN0087,Mathematics,No,6,28
STU0018,ASSIGN0088,Biology,Yes,2,58
STU0018,ASSIGN0089,Physics,No,14,28
STU0018,ASSIGN0090,Physics,Yes,3,60
STU0019,ASSIGN0091,Mathematics,Yes,5,85
STU0019,ASSIGN0092,Mathematics,No,6,19
STU0019,ASSIGN0093,Chemistry,No,12,36
STU0019,ASSIGN0094,Biology,No,9,24
STU0019,ASSIGN0095,Chemistry,Yes,1,71
STU0020,ASSIGN0096,Chemistry,No,14,16
STU0020,ASSIGN0097,Mathematics,No,15,28
STU0020,ASSIGN0098,Physics,Yes,3,92
STU0020,ASSIGN0099,Mathematics,Yes,1,59
STU0020,ASSIGN0100,Physics,Yes,0,63
STU0021,ASSIGN0101,Chemistry,No,9,30
STU0021,ASSIGN0102,Physics,No,9,3
STU0021,ASSIGN0103,Biology,No,11,40
STU0021,ASSIGN0104,Biology,Yes,2,54
STU0021,ASSIGN0105,Mathematics,No,12,19
STU0022,ASSIGN0106,Physics,Yes,1,71
STU0022,ASSIGN0107,Mathematics,No,10,1
STU0022,ASSIGN0108,Physics,No,14,25
STU0022,ASSIGN0109,Chemistry,No,14,15
STU0022,ASSIGN0110,Mathematics,Yes,0,94
STU0023,ASSIGN0111,Physics,No,9,38
STU0023,ASSIGN0112,Physics,No,10,12
STU0023,ASSIGN0113,Biology,Yes,2,67
STU0023,ASSIGN0114,Chemistry,No,10,3
STU0023,ASSIGN0115,Biology,No,7,21
STU0024,ASSIGN0116,Chemistry,Yes,0,71
STU0024,ASSIGN0117,Mathematics,No,12,5
STU0024,ASSIGN0118,Physics,Yes,4,84
STU0024,ASSIGN0119,Mathematics,Yes,3,54
STU0024,ASSIGN0120,Biology,Yes,4,47
STU0025,ASSIGN0121,Chemistry,No,12,34
STU0025,ASSIGN0122,Physics,Yes,1,45
STU0025,ASSIGN0123,Physics,Yes,2,79
STU0025,ASSIGN0124,Biology,Yes,2,76
STU0025,ASSIGN0125,Physics,Yes,4,79
STU0026,ASSIGN0126,Chemistry,No,10,4
STU0026,ASSIGN0127,Chemistry,No,12,4
STU0026,ASSIGN0128,Biology,No,13,24
STU0026,ASSIGN0129,Mathematics,No,12,36
STU0026,ASSIGN0130,Physics,No,8,18
STU0027,ASSIGN0131,Mathematics,Yes,0,66
STU0027,ASSIGN0132,Biology,Yes,3,74
STU0027,ASSIGN0133,Mathematics,No,13,21
STU0027,ASSIGN0134,Physics,Yes,5,68
STU0027,ASSIGN0135,Physics,Yes,4,82
STU0028,ASSIGN0136,Mathematics,Yes,1,100
STU0028,ASSIGN0137,Physics,No,13,18
STU0028,ASSIGN0138,Biology,Yes,4,84
STU0028,ASSIGN0139,Physics,No,8,31
STU0028,ASSIGN0140,Mathematics,Yes,2,66
STU0029,ASSIGN0141,Biology,No,8,34
STU0029,ASSIGN0142,Biology,No,6,27
STU0029,ASSIGN0143,Chemistry,No,14,8
STU0029,ASSIGN0144,Mathematics,Yes,1,54
STU0029,ASSIGN0145,Biology,Yes,3,66
STU0030,ASSIGN0146,Biology,Yes,4,42
STU0030,ASSIGN0147,Chemistry,Yes,3,69
STU0030,ASSIGN0148,Mathematics,No,8,30
STU0030,ASSIGN0149,Physics,Yes,1,70
STU0030,ASSIGN0150,Physics,No,14,40
STU0031,ASSIGN0151,Mathematics,Yes,0,79
STU0031,ASSIGN0152,Physics,Yes,4,69
STU0031,ASSIGN0153,Biology,No,8,17
STU0031,ASSIGN0154,Physics,No,10,7
STU0031,ASSIGN0155,Biology,No,15,7
STU0032,ASSIGN0156,Biology,Yes,4,79
STU0032,ASSIGN0157,Chemistry,No,10,26
STU0032,ASSIGN0158,Biology,No,12,25
STU0032,ASSIGN0159,Mathematics,No,15,20
STU0032,ASSIGN0160,Chemistry,No,7,31
STU0033,ASSIGN0161,Mathematics,No,9,3
STU0033,ASSIGN0162,Mathematics,Yes,4,87
STU0033,ASSIGN0163,Chemistry,Yes,5,76
STU0033,ASSIGN0164,Biology,No,13,26
STU0033,ASSIGN0165,Biology,No,9,19
STU0034,ASSIGN0166,Mathematics,Yes,4,95
STU0034,ASSIGN0167,Physics,No,12,9
STU0034,ASSIGN0168,Physics,Yes,1,44
STU0034,ASSIGN0169,Mathematics,Yes,0,80
STU0034,ASSIGN0170,Physics,Yes,2,73
STU0035,ASSIGN0171,Chemistry,Yes,2,100
STU0035,ASSIGN0172,Chemistry,Yes,4,92
STU0035,ASSIGN0173,Physics,Yes,2,66
STU0035,ASSIGN0174,Chemistry,No,10,5
STU0035,ASSIGN0175,Physics,Yes,3,95
STU0036,ASSIGN0176,Chemistry,No,8,16
STU0036,ASSIGN0177,Chemistry,No,8,27
STU0036,ASSIGN0178,Biology,No,8,27
STU0036,ASSIGN0179,Biology,Yes,0,73
