Student_ID,Lecture_ID,Subject,Chapter,Faculty,Lecture_Date,Attendance_Percentage
STU0001,LEC0001,Physics,Electricity,Dr. Ravi,2026-02-12,57
STU0001,LEC0002,Physics,Motion,Dr. Kumar,2026-02-21,74
STU0001,LEC0003,Mathematics,Algebra,Dr. Priya,2026-03-13,53
STU0001,LEC0004,Biology,Cell,Dr. Arun,2026-06-11,89
STU0001,LEC0005,Biology,Cell,Dr. Kumar,2026-02-05,93
STU0001,LEC0006,Physics,Motion,Dr. Arun,2026-07-04,74
STU0001,LEC0007,Biology,Cell,Dr. Ravi,2026-02-15,98
STU0001,LEC0008,Biology,Genetics,Dr. Ravi,2026-02-01,100
STU0001,LEC0009,Physics,Electricity,Dr. Meena,2026-03-30,79
STU0001,LEC0010,Biology,Cell,Dr. Arun,2026-04-13,91
STU0002,LEC0011,Physics,Electricity,Dr. Ravi,2026-06-07,71
STU0002,LEC0012,Chemistry,Atoms,Dr. Kumar,2026-06-14,50
STU0002,LEC0013,Physics,Laws of Motion,Dr. Ravi,2026-05-22,58
STU0002,LEC0014,Mathematics,Calculus,Dr. Meena,2026-06-13,80
STU0002,LEC0015,Biology,Genetics,Dr. Priya,2026-04-02,58
STU0002,LEC0016,Physics,Motion,Dr. Priya,2026-02-07,69
STU0002,LEC0017,Biology,Human Body,Dr. Arun,2026-05-12,87
STU0002,LEC0018,Chemistry,Chemical Bonding,Dr. Meena,2026-07-10,69
STU0002,LEC0019,Mathematics,Calculus,Dr. Arun,2026-02-02,50
STU0002,LEC0020,Chemistry,Atoms,Dr. Priya,2026-02-07,82
STU0003,LEC0021,Physics,Electricity,Dr. Arun,2026-04-02,62
STU0003,LEC0022,Chemistry,Chemical Bonding,Dr. Kumar,2026-02-08,71
STU0003,LEC0023,Chemistry,Organic Chemistry,Dr. Meena,2026-07-06,88
STU0003,LEC0024,Mathematics,Calculus,Dr. Ravi,2026-03-06,69
STU0003,LEC0025,Biology,Human Body,Dr. Priya,2026-06-07,56
STU0003,LEC0026,Biology,Cell,Dr. Meena,2026-07-06,64
STU0003,LEC0027,Physics,Laws of Motion,Dr. Priya,2026-07-06,79
STU0003,LEC0028,Chemistry,Chemical Bonding,Dr. Meena,2026-07-18,97
STU0003,LEC0029,Mathematics,Probability,Dr. Priya,2026-02-10,75
STU0003,LEC0030,Chemistry,Atoms,Dr. Arun,2026-03-03,50
STU0004,LEC0031,Physics,Work and Energy,Dr. Kumar,2026-02-12,85
STU0004,LEC0032,Physics,Laws of Motion,Dr. Arun,2026-01-25,78
STU0004,LEC0033,Chemistry,Acids and Bases,Dr. Kumar,2026-07-09,51
STU0004,LEC0034,Chemistry,Chemical Bonding,Dr. Arun,2026-07-11,61
STU0004,LEC0035,Chemistry,Acids and Bases,Dr. Priya,2026-04-29,71
STU0004,LEC0036,Chemistry,Chemical Bonding,Dr. Priya,2026-03-31,51
STU0004,LEC0037,Chemistry,Acids and Bases,Dr. Kumar,2026-01-30,51
STU0004,LEC0038,Chemistry,Organic Chemistry,Dr. Kumar,2026-02-20,71
STU0004,LEC0039,Chemistry,Acids and Bases,Dr. Meena,2026-05-08,65
STU0004,LEC0040,Mathematics,Calculus,Dr. Priya,2026-01-23,83
STU0005,LEC0041,Biology,Cell,Dr. Kumar,2026-04-03,59
STU0005,LEC0042,Chemistry,Chemical Bonding,Dr. Priya,2026-04-18,84
STU0005,LEC0043,Biology,Human Body,Dr. Arun,2026-03-30,88
STU0005,LEC0044,Biology,Genetics,Dr. Kumar,2026-02-19,98
STU0005,LEC0045,Chemistry,Acids and Bases,Dr. Priya,2026-03-20,70
STU0005,LEC0046,Chemistry,Atoms,Dr. Arun,2026-07-14,58
STU0005,LEC0047,Biology,Genetics,Dr. Kumar,2026-03-08,100
STU0005,LEC0048,Biology,Cell,Dr. Priya,2026-02-21,82
STU0005,LEC0049,Biology,Human Body,Dr. Meena,2026-04-30,83
STU0005,LEC0050,Biology,Genetics,Dr. Arun,2026-04-28,95
STU0006,LEC0051,Mathematics,Probability,Dr. Meena,2026-07-07,80
STU0006,LEC0052,Mathematics,Probability,Dr. Ravi,2026-02-26,91
STU0006,LEC0053,Physics,Laws of Motion,Dr. Priya,2026-05-19,62
STU0006,LEC0054,Biology,Genetics,Dr. Meena,2026-05-17,63
STU0006,LEC0055,Mathematics,Probability,Dr. Meena,2026-07-02,86
STU0006,LEC0056,Chemistry,Acids and Bases,Dr. Arun,2026-03-22,85
STU0006,LEC0057,Physics,Laws of Motion,Dr. Kumar,2026-02-03,68
STU0006,LEC0058,Biology,Human Body,Dr. Priya,2026-02-12,87
STU0006,LEC0059,Physics,Electricity,Dr. Ravi,2026-03-11,89
STU0006,LEC0060,Mathematics,Probability,Dr. Meena,2026-03-08,79
STU0007,LEC0061,Biology,Plant Physiology,Dr. Arun,2026-04-24,81
STU0007,LEC0062,Mathematics,Calculus,Dr. Meena,2026-06-12,51
STU0007,LEC0063,Chemistry,Organic Chemistry,Dr. Priya,2026-05-03,66
STU0007,LEC0064,Physics,Work and Energy,Dr. Kumar,2026-07-23,68
STU0007,LEC0065,Physics,Work and Energy,Dr. Priya,2026-07-16,56
STU0007,LEC0066,Physics,Motion,Dr. Arun,2026-03-07,52
STU0007,LEC0067,Chemistry,Acids and Bases,Dr. Priya,2026-07-12,93
STU0007,LEC0068,Mathematics,Calculus,Dr. Arun,2026-06-30,97
STU0007,LEC0069,Mathematics,Trigonometry,Dr. Ravi,2026-03-09,58
STU0007,LEC0070,Mathematics,Algebra,Dr. Arun,2026-02-19,68
STU0008,LEC0071,Mathematics,Probability,Dr. Meena,2026-03-04,87
STU0008,LEC0072,Physics,Electricity,Dr. Ravi,2026-04-13,98
STU0008,LEC0073,Chemistry,Organic Chemistry,Dr. Priya,2026-03-27,64
STU0008,LEC0074,Chemistry,Organic Chemistry,Dr. Priya,2026-05-09,83
STU0008,LEC0075,Biology,Plant Physiology,Dr. Arun,2026-02-27,100
STU0008,LEC0076,Physics,Work and Energy,Dr. Priya,2026-06-10,77
STU0008,LEC0077,Biology,Genetics,Dr. Meena,2026-06-05,78
STU0008,LEC0078,Physics,Work and Energy,Dr. Priya,2026-06-26,86
STU0008,LEC0079,Chemistry,Acids and Bases,Dr. Kumar,2026-05-02,81
STU0008,LEC0080,Mathematics,Calculus,Dr. Priya,2026-03-16,76
STU0009,LEC0081,Biology,Plant Physiology,Dr. Ravi,2026-04-01,69
STU0009,LEC0082,Mathematics,Algebra,Dr. Ravi,2026-06-13,100
STU0009,LEC0083,Physics,Laws of Motion,Dr. Priya,2026-05-22,71
STU0009,LEC0084,Biology,Plant Physiology,Dr. Priya,2026-04-12,75
STU0009,LEC0085,Physics,Electricity,Dr. Priya,2026-03-03,80
STU0009,LEC0086,Physics,Work and Energy,Dr. Ravi,2026-02-28,78
STU0009,LEC0087,Mathematics,Algebra,Dr. Priya,2026-04-30,56
STU0009,LEC0088,Chemistry,Atoms,Dr. Ravi,2026-02-05,81
STU0009,LEC0089,Physics,Laws of Motion,Dr. Priya,2026-05-29,54
STU0009,LEC0090,Biology,Human Body,Dr. Priya,2026-01-23,64
STU0010,LEC0091,Mathematics,Algebra,Dr. Meena,2026-03-09,53
STU0010,LEC0092,Mathematics,Algebra,Dr. Priya,2026-02-28,70
STU0010,LEC0093,Biology,Plant Physiology,Dr. Priya,2026-03-27,57
STU0010,LEC0094,Chemistry,Organic Chemistry,Dr. Meena,2026-03-20,97
STU0010,LEC0095,Physics,Electricity,Dr. Priya,2026-05-14,58
STU0010,LEC0096,Chemistry,Acids and Bases,Dr. Meena,2026-03-29,95
STU0010,LEC0097,Biology,Genetics,Dr. Ravi,2026-05-10,86
STU0010,LEC0098,Mathematics,Trigonometry,Dr. Ravi,2026-01-31,95
STU0010,LEC0099,Biology,Human Body,Dr. Priya,2026-07-12,50
STU0010,LEC0100,Chemistry,Organic Chemistry,Dr. Kumar,2026-03-11,75
STU0011,LEC0101,Chemistry,Acids and Bases,Dr. Ravi,2026-05-03,81
STU0011,LEC0102,Biology,Plant Physiology,Dr. Ravi,2026-04-07,52
STU0011,LEC0103,Physics,Work and Energy,Dr. Meena,2026-02-24,72
STU0011,LEC0104,Mathematics,Probability,Dr. Ravi,2026-07-11,61
STU0011,LEC0105,Biology,Genetics,Dr. Priya,2026-03-31,89
STU0011,LEC0106,Biology,Plant Physiology,Dr. Meena,2026-03-23,92
STU0011,LEC0107,Chemistry,Atoms,Dr. Meena,2026-03-01,94
STU0011,LEC0108,Physics,Laws of Motion,Dr. Priya,2026-06-30,67
STU0011,LEC0109,Mathematics,Algebra,Dr. Priya,2026-05-09,81
STU0011,LEC0110,Biology,Cell,Dr. Arun,2026-04-20,54
STU0012,LEC0111,Physics,Work and Energy,Dr. Meena,2026-05-15,78
STU0012,LEC0112,Chemistry,Acids and Bases,Dr. Priya,2026-02-14,82
STU0012,LEC0113,Physics,Electricity,Dr. Kumar,2026-03-11,54
STU0012,LEC0114,Biology,Plant Physiology,Dr. Arun,2026-07-13,97
STU0012,LEC0115,Biology,Genetics,Dr. Meena,2026-04-05,52
STU0012,LEC0116,Physics,Work and Energy,Dr. Kumar,2026-06-02,95
STU0012,LEC0117,Chemistry,Acids and Bases,Dr. Meena,2026-04-25,81
STU0012,LEC0118,Biology,Cell,Dr. Kumar,2026-06-03,85
STU0012,LEC0119,Chemistry,Organic Chemistry,Dr. Priya,2026-05-23,80
STU0012,LEC0120,Mathematics,Trigonometry,Dr. Priya,2026-04-30,51
STU0013,LEC0121,Physics,Laws of Motion,Dr. Arun,2026-02-23,57
STU0013,LEC0122,Biology,Genetics,Dr. Kumar,2026-06-13,92
STU0013,LEC0123,Physics,Work and Energy,Dr. Priya,2026-06-03,78
STU0013,LEC0124,Mathematics,Trigonometry,Dr. Priya,2026-03-03,95
STU0013,LEC0125,Physics,Laws of Motion,Dr. Meena,2026-06-03,94
STU0013,LEC0126,Physics,Motion,Dr. Meena,2026-06-11,94
STU0013,LEC0127,Mathematics,Probability,Dr. Kumar,2026-03-06,88
STU0013,LEC0128,Physics,Motion,Dr. Meena,2026-07-12,99
STU0013,LEC0129,Chemistry,Chemical Bonding,Dr. Arun,2026-06-17,65
STU0013,LEC0130,Chemistry,Atoms,Dr. Kumar,2026-02-02,76
STU0014,LEC0131,Physics,Motion,Dr. Arun,2026-02-15,62
STU0014,LEC0132,Physics,Laws of Motion,Dr. Kumar,2026-05-09,92
STU0014,LEC0133,Chemistry,Chemical Bonding,Dr. Kumar,2026-04-19,76
STU0014,LEC0134,Physics,Work and Energy,Dr. Arun,2026-03-07,85
STU0014,LEC0135,Chemistry,Chemical Bonding,Dr. Ravi,2026-05-08,75
STU0014,LEC0136,Biology,Cell,Dr. Priya,2026-02-07,63
STU0014,LEC0137,Physics,Work and Energy,Dr. Arun,2026-02-18,61
STU0014,LEC0138,Physics,Electricity,Dr. Arun,2026-03-16,50
STU0014,LEC0139,Biology,Genetics,Dr. Meena,2026-03-14,64
STU0014,LEC0140,Physics,Work and Energy,Dr. Ravi,2026-06-07,73
STU0015,LEC0141,Physics,Motion,Dr. Priya,2026-02-19,76
STU0015,LEC0142,Mathematics,Probability,Dr. Kumar,2026-05-30,95
STU0015,LEC0143,Chemistry,Acids and Bases,Dr. Kumar,2026-07-22,88
STU0015,LEC0144,Mathematics,Probability,Dr. Priya,2026-02-12,71
STU0015,LEC0145,Chemistry,Acids and Bases,Dr. Meena,2026-07-15,54
STU0015,LEC0146,Mathematics,Algebra,Dr. Ravi,2026-04-30,87
STU0015,LEC0147,Biology,Plant Physiology,Dr. Ravi,2026-06-02,90
STU0015,LEC0148,Chemistry,Atoms,Dr. Priya,2026-07-04,51
STU0015,LEC0149,Physics,Work and Energy,Dr. Priya,2026-01-30,97
STU0015,LEC0150,Biology,Genetics,Dr. Ravi,2026-07-21,55
STU0016,LEC0151,Physics,Laws of Motion,Dr. Arun,2026-07-01,81
STU0016,LEC0152,Mathematics,Trigonometry,Dr. Priya,2026-04-09,74
STU0016,LEC0153,Chemistry,Atoms,Dr. Priya,2026-05-24,96
