Student_ID,Login_Frequency,Weekly_Study_Hours,Average_Session_Duration,Consecutive_Study_Days,Sessions_Per_Week
STU0001,18,16.3,35,6,4
STU0002,14,23.5,52,7,9
STU0003,16,9.7,69,25,4
STU0004,13,19.8,169,17,2
STU0005,20,14.3,144,7,4
STU0006,24,11.9,92,23,12
STU0007,5,21.8,33,13,7
STU0008,28,33.6,71,4,13
STU0009,24,6.3,157,28,9
STU0010,24,17.3,141,1,5
STU0011,9,9.6,54,5,5
STU0012,12,11.0,158,17,2
STU0013,19,25.6,160,28,9
STU0014,22,16.3,46,19,5
STU0015,9,15.1,156,2,5
STU0016,8,11.6,54,25,2
STU0017,11,28.3,138,6,13
STU0018,22,18.5,166,13,12
STU0019,22,33.1,143,7,4
STU0020,23,18.6,59,28,5
STU0021,28,12.6,165,22,14
STU0022,6,30.7,61,25,13
STU0023,11,9.7,118,26,4
STU0024,14,12.3,149,26,2
STU0025,18,33.9,168,22,13
STU0026,6,33.0,102,30,7
STU0027,27,8.4,120,13,7
STU0028,14,32.0,32,6,6
STU0029,7,7.3,98,19,9
STU0030,10,32.9,139,23,14
STU0031,30,34.9,65,14,8
STU0032,21,13.9,116,19,5
STU0033,13,27.0,26,3,2
STU0034,19,21.8,99,28,5
STU0035,25,21.1,97,19,2
STU0036,27,25.9,54,18,7
STU0037,21,27.9,82,4,4
STU0038,12,7.7,161,30,8
STU0039,26,10.1,59,7,8
STU0040,22,15.0,33,24,10
STU0041,27,28.3,128,23,5
STU0042,12,22.4,163,19,4
STU0043,21,14.3,129,1,3
STU0044,5,24.2,51,19,6
STU0045,23,18.0,155,6,2
STU0046,22,34.3,69,21,14
STU0047,18,15.2,36,4,3
STU0048,21,34.9,33,5,10
STU0049,23,15.0,142,18,9
STU0050,20,22.0,27,17,5
STU0051,23,23.3,110,7,12
STU0052,29,9.8,94,3,9
STU0053,7,25.1,129,11,8
STU0054,6,33.5,34,5,12
STU0055,8,6.8,90,25,7
STU0056,22,24.5,44,21,12
STU0057,9,16.5,157,10,2
STU0058,6,27.2,61,5,5
STU0059,25,14.4,103,22,9
STU0060,17,17.2,95,11,5
STU0061,23,22.4,150,27,10
STU0062,16,24.6,129,16,7
STU0063,27,5.5,122,23,8
STU0064,19,30.1,76,29,8
STU0065,18,14.2,129,17,3
STU0066,21,7.7,76,13,9
STU0067,26,24.6,72,5,13
STU0068,30,24.6,55,19,3
STU0069,24,10.4,100,18,12
STU0070,22,15.9,90,24,6
STU0071,15,12.7,155,18,3
STU0072,29,12.4,171,21,2
STU0073,5,27.5,139,26,13
STU0074,18,13.7,64,19,10
STU0075,13,34.6,111,11,5
STU0076,16,26.2,31,4,11
STU0077,15,13.5,127,21,5
STU0078,15,32.3,158,2,6
STU0079,25,27.2,27,20,6
STU0080,15,18.6,66,10,11
STU0081,20,23.5,118,23,7
STU0082,24,6.3,101,17,2
STU0083,20,20.5,30,22,2
STU0084,22,32.0,83,11,5
STU0085,30,23.8,60,27,13
STU0086,30,26.9,110,30,12
STU0087,8,29.2,53,6,4
STU0088,22,10.7,127,6,6
STU0089,29,21.9,161,25,5
STU0090,14,14.5,118,25,11
STU0091,13,16.1,76,12,4
STU0092,28,25.8,146,7,4
STU0093,30,17.1,140,23,12
STU0094,28,26.4,180,2,14
STU0095,9,12.9,112,28,10
STU0096,28,21.0,87,14,8
STU0097,5,24.3,121,4,14
STU0098,17,31.8,156,8,2
STU0099,18,14.9,34,19,5
STU0100,7,35.0,115,3,11
STU0101,9,17.8,30,14,5
STU0102,29,13.5,40,12,9
STU0103,11,34.8,87,23,5
STU0104,8,34.9,73,19,6
STU0105,29,14.8,77,4,10
STU0106,17,21.8,180,14,11
STU0107,20,9.5,48,6,9
STU0108,16,20.3,89,19,9
STU0109,7,10.8,118,30,6
STU0110,27,13.1,152,27,6
STU0111,23,8.9,60,10,6
STU0112,19,9.1,88,19,12
STU0113,29,28.2,41,20,2
STU0114,10,11.6,38,18,4
STU0115,8,12.9,128,3,10
STU0116,17,15.1,86,30,2
STU0117,9,29.0,105,1,7
STU0118,6,31.4,52,16,9
STU0119,11,22.2,22,28,7
STU0120,26,5.6,150,11,6
STU0121,5,11.3,160,7,2
STU0122,5,18.0,82,17,13
STU0123,11,7.6,43,22,7
STU0124,30,28.7,146,29,4
STU0125,12,12.2,41,11,4
STU0126,23,31.0,137,7,3
STU0127,14,23.3,156,30,7
STU0128,10,11.6,31,2,12
STU0129,29,16.3,85,9,10
STU0130,8,26.4,115,14,10
STU0131,13,25.5,114,20,9
STU0132,14,16.6,133,30,5
STU0133,18,16.3,166,12,5
STU0134,28,16.7,27,20,6
STU0135,10,8.2,75,5,10
STU0136,12,27.2,72,22,14
STU0137,10,10.8,78,5,7
STU0138,23,22.3,81,7,9
STU0139,15,30.1,70,30,7
STU0140,14,31.6,103,24,5
STU0141,10,6.6,147,26,4
STU0142,9,20.0,140,1,13
STU0143,22,15.7,84,27,6
STU0144,27,27.5,25,26,3
STU0145,28,29.5,115,15,10
STU0146,27,12.9,151,15,13
STU0147,20,28.0,131,9,13
STU0148,8,11.9,157,19,3
STU0149,22,34.3,180,30,5
STU0150,18,25.8,64,29,5
STU0151,8,18.9,112,15,14
STU0152,29,23.6,109,12,2
STU0153,28,27.6,126,30,2
STU0154,9,23.7,145,20,9
STU0155,26,8.3,31,23,13
STU0156,18,30.4,121,23,2
STU0157,23,10.3,120,5,11
STU0158,20,26.5,23,25,3
STU0159,22,6.8,30,18,10
STU0160,6,15.9,154,2,4
STU0161,20,9.8,175,19,13
STU0162,18,14.5,116,30,9
STU0163,28,22.2,93,5,7
STU0164,19,25.8,151,7,8
STU0165,28,21.2,151,19,12
STU0166,8,12.7,160,4,13
STU0167,12,14.5,177,21,5
STU0168,9,34.7,52,22,2
STU0169,9,15.9,73,6,9
STU0170,24,30.6,71,7,13
STU0171,19,26.5,147,24,12
STU0172,23,22.1,94,27,7
STU0173,24,9.5,145,12,10
STU0174,18,13.3,139,6,5
STU0175,23,18.1,166,12,7
STU0176,8,17.9,25,20,14
STU0177,16,17.9,105,2,3
STU0178,25,21.3,56,23,2
STU0179,16,7.4,55,6,11
STU0180,14,10.9,23,5,12
STU0181,22,34.7,116,9,12
STU0182,12,26.5,68,8,4
STU0183,28,23.2,118,29,2
STU0184,23,34.0,172,18,14
STU0185,28,32.3,129,19,14
STU0186,26,30.1,35,8,12
STU0187,17,34.2,172,19,3
STU0188,28,16.3,90,19,9
STU0189,5,27.6,27,17,14
STU0190,27,32.8,72,1,8
STU0191,28,28.2,114,8,9
STU0192,8,32.5,170,9,7
STU0193,8,25.3,36,28,6
STU0194,28,32.7,32,15,14
STU0195,16,25.6,131,13,11
STU0196,12,29.9,147,11,4
STU0197,14,24.6,46,17,3
STU0198,6,18.0,72,19,14
STU0199,15,10.1,90,17,6
STU0200,23,7.3,27,9,7
STU0201,26,11.4,169,2,11
STU0202,8,8.7,56,6,10
STU0203,22,24.2,162,4,12
STU0204,16,30.2,135,20,10
STU0205,11,22.1,145,17,3
STU0206,12,31.7,33,29,4
STU0207,10,20.3,69,5,3
STU0208,11,10.5,81,6,9
STU0209,9,27.3,67,3,5
STU0210,16,32.5,109,20,2
STU0211,11,12.9,25,11,6
STU0212,9,10.1,39,8,13
STU0213,22,9.4,156,21,7
STU0214,25,6.0,24,13,14
STU0215,26,5.6,38,18,6
STU0216,6,34.7,106,22,14
STU0217,18,6.0,27,12,7
STU0218,18,24.3,88,27,7
STU0219,7,34.0,112,5,14
STU0220,14,25.1,179,16,8
STU0221,9,14.5,114,11,13
STU0222,24,25.8,82,22,8
STU0223,7,12.4,59,9,12
STU0224,21,8.3,134,30,7
STU0225,13,23.5,147,15,9
STU0226,25,29.6,67,23,8
STU0227,15,20.8,135,10,5
STU0228,21,32.7,156,26,2
STU0229,6,5.0,23,25,9
STU0230,28,13.8,172,18,10
STU0231,5,21.0,148,12,8
STU0232,7,29.1,62,15,12
STU0233,12,17.4,67,30,5
STU0234,20,29.3,115,30,2
STU0235,28,22.9,85,21,7
STU0236,6,6.4,135,15,9
STU0237,13,16.6,105,3,9
STU0238,15,5.1,114,1,3
STU0239,16,32.5,141,25,3
STU0240,29,22.5,79,14,2
STU0241,14,9.2,82,1,7
STU0242,13,14.9,66,24,13
STU0243,30,32.0,93,1,6
STU0244,11,14.4,130,8,6
STU0245,15,26.8,156,16,9
STU0246,20,23.6,22,22,10
STU0247,29,18.7,158,15,8
STU0248,13,26.6,62,24,9
STU0249,16,18.4,67,7,4
STU0250,19,5.5,90,3,7
STU0251,25,27.1,21,6,3
STU0252,21,23.4,144,2,14
STU0253,26,5.3,31,8,3
STU0254,20,28.7,25,17,9
STU0255,10,24.3,155,6,2
STU0256,11,30.6,38,5,11
STU0257,21,34.2,94,18,11
STU0258,14,28.1,122,16,4
STU0259,6,27.6,167,30,4
STU0260,30,18.3,129,2,9
STU0261,23,24.3,86,18,3
STU0262,20,5.5,29,29,7
STU0263,27,16.6,89,21,8
STU0264,11,32.3,106,28,5
STU0265,30,23.7,52,6,14
STU0266,24,30.5,72,6,7
STU0267,23,18.7,63,19,12
STU0268,6,23.6,85,15,8
STU0269,5,14.0,162,22,7
STU0270,19,14.4,48,25,3
STU0271,5,7.0,77,23,4
STU0272,23,22.1,128,17,14
STU0273,27,29.2,69,13,14
STU0274,20,5.8,51,28,7
STU0275,29,6.0,88,17,3
STU0276,22,14.6,54,29,12
STU0277,30,17.9,144,30,3
STU0278,24,15.7,71,23,9
STU0279,23,13.6,138,12,5
STU0280,9,20.0,117,24,3
STU0281,10,31.7,104,26,13
STU0282,6,15.8,120,17,4
STU0283,11,15.2,179,5,13
STU0284,22,17.6,119,10,12
STU0285,23,24.4,118,29,6
STU0286,29,26.1,142,6,10
STU0287,11,11.2,135,11,5
STU0288,24,11.6,80,30,5
STU0289,6,29.2,118,26,10
STU0290,22,17.5,83,19,7
STU0291,22,34.6,178,30,2
STU0292,25,27.2,89,5,12
STU0293,27,21.9,172,10,12
STU0294,20,23.2,70,4,5
STU0295,12,6.4,141,20,12
STU0296,25,30.0,76,13,4
STU0297,20,32.3,54,28,13
STU0298,13,19.4,124,28,4
STU0299,16,12.2,25,2,12
STU0300,8,27.6,148,14,5
STU0301,24,22.4,90,3,2
STU0302,13,26.9,175,11,6
STU0303,7,16.1,36,23,7
STU0304,29,17.4,38,5,8
STU0305,24,15.2,65,20,4
STU0306,18,19.9,34,22,12
STU0307,8,5.1,136,14,5
STU0308,11,9.0,33,8,2
STU0309,20,24.1,86,3,11
STU0310,26,24.1,127,6,5
STU0311,21,14.8,57,8,5
STU0312,26,5.6,162,11,14
STU0313,23,23.4,82,1,6
STU0314,21,15.2,146,13,4
STU0315,24,25.5,57,23,4
STU0316,19,22.5,104,26,6
STU0317,7,10.6,114,26,4
STU0318,16,29.2,99,23,3
STU0319,30,19.6,27,17,11
STU0320,10,33.3,148,17,12
STU0321,21,9.0,136,11,10
STU0322,5,24.9,106,13,7
STU0323,26,17.3,21,5,14
STU0324,27,18.2,126,11,9
STU0325,15,18.6,70,11,6
STU0326,23,34.1,48,20,12
STU0327,8,17.1,59,20,2
STU0328,7,7.1,32,27,7
STU0329,5,28.7,132,11,9
STU0330,17,12.4,20,18,3
STU0331,22,14.0,162,18,13
STU0332,14,24.7,58,28,2
STU0333,22,5.9,44,3,3
STU0334,23,29.5,93,26,6
STU0335,5,7.1,110,19,11
STU0336,24,22.8,131,27,4
STU0337,29,9.7,105,15,13
STU0338,19,33.2,47,26,12
STU0339,27,13.7,77,17,2
STU0340,9,20.5,148,19,5
STU0341,5,34.7,54,19,7
STU0342,24,29.3,105,22,2
STU0343,6,12.2,145,12,13
STU0344,22,12.5,82,14,12
STU0345,28,18.3,102,20,6
STU0346,9,14.1,124,6,9
STU0347,9,33.8,77,13,13
STU0348,16,11.6,148,30,5
STU0349,5,21.6,42,11,6
STU0350,16,24.0,129,17,14
STU0351,28,15.8,53,15,11
STU0352,18,18.3,93,24,9
STU0353,29,7.8,94,7,9
STU0354,6,5.5,152,9,3
STU0355,23,29.4,166,9,6
STU0356,8,24.5,47,6,8
STU0357,23,21.2,102,2,12
STU0358,20,22.8,146,28,11
STU0359,10,20.6,116,4,10
STU0360,19,19.6,85,6,14
STU0361,25,29.7,64,14,2
STU0362,25,12.9,88,19,13
STU0363,13,14.8,171,21,2
STU0364,11,11.5,79,23,2
STU0365,5,26.2,82,7,3
STU0366,6,7.5,64,26,10
STU0367,16,28.2,41,20,3
STU0368,30,34.3,37,21,13
STU0369,15,26.5,118,2,6
STU0370,24,6.7,55,8,6
STU0371,11,12.5,119,12,9
STU0372,9,31.8,145,3,5
STU0373,11,10.5,32,18,14
STU0374,5,17.7,39,12,8
STU0375,15,20.5,42,30,10
STU0376,17,16.2,132,5,7
STU0377,6,32.3,80,1,12
STU0378,30,30.2,123,22,11
STU0379,14,23.1,21,3,8
STU0380,16,28.2,28,5,6
STU0381,11,15.7,54,29,3
STU0382,12,29.6,47,15,8
STU0383,17,9.5,165,18,2
STU0384,28,31.8,136,11,3
STU0385,13,26.2,47,15,12
STU0386,6,17.9,110,17,11
STU0387,18,5.2,139,23,6
STU0388,7,17.7,43,17,4
STU0389,18,13.6,86,6,11
STU0390,16,19.4,44,20,9
STU0391,6,10.5,104,5,6
STU0392,28,25.8,172,19,12
STU0393,19,30.2,30,5,10
STU0394,24,32.8,27,26,2
STU0395,27,21.9,180,10,14
STU0396,29,16.3,179,26,3
STU0397,11,22.6,70,4,13
STU0398,5,15.9,111,30,10
STU0399,21,14.3,168,29,4
STU0400,11,30.0,119,2,10
