Student_ID,Quiz_ID,Subject,Chapter,Questions_Attempted,Correct,Incorrect,Accuracy,Average_Time_Per_Question
STU0001,QUIZ0001,Biology,Genetics,28,13,15,46.43,64.6
STU0001,QUIZ0002,Biology,Plant Physiology,18,6,12,33.33,34.7
STU0001,QUIZ0003,Physics,Electricity,20,6,14,30.0,32.54
STU0001,QUIZ0004,Biology,Cell,30,10,20,33.33,25.22
STU0001,QUIZ0005,Chemistry,Organic Chemistry,25,10,15,40.0,81.35
STU0001,QUIZ0006,Mathematics,Calculus,30,13,17,43.33,63.56
STU0002,QUIZ0007,Biology,Cell,23,12,11,52.17,66.91
STU0002,QUIZ0008,Chemistry,Atoms,25,5,20,20.0,27.14
STU0002,QUIZ0009,Biology,Genetics,23,19,4,82.61,35.38
STU0002,QUIZ0010,Chemistry,Chemical Bonding,17,16,1,94.12,52.65
STU0002,QUIZ0011,Mathematics,Calculus,29,22,7,75.86,47.99
STU0002,QUIZ0012,Chemistry,Chemical Bonding,18,8,10,44.44,23.39
STU0003,QUIZ0013,Biology,Human Body,19,17,2,89.47,78.34
STU0003,QUIZ0014,Chemistry,Chemical Bonding,30,21,9,70.0,74.59
STU0003,QUIZ0015,Physics,Electricity,19,8,11,42.11,31.6
STU0003,QUIZ0016,Physics,Work and Energy,16,11,5,68.75,58.85
STU0003,QUIZ0017,Physics,Electricity,21,8,13,38.1,50.97
STU0003,QUIZ0018,Physics,Laws of Motion,22,21,1,95.45,32.71
STU0004,QUIZ0019,Mathematics,Algebra,28,20,8,71.43,87.01
STU0004,QUIZ0020,Mathematics,Trigonometry,18,17,1,94.44,64.22
STU0004,QUIZ0021,Physics,Electricity,15,11,4,73.33,82.3
STU0004,QUIZ0022,Biology,Plant Physiology,27,26,1,96.3,63.94
STU0004,QUIZ0023,Biology,Genetics,30,30,0,100.0,21.73
STU0004,QUIZ0024,Mathematics,Algebra,19,11,8,57.89,29.02
STU0005,QUIZ0025,Chemistry,Atoms,21,13,8,61.9,77.27
STU0005,QUIZ0026,Mathematics,Algebra,30,23,7,76.67,28.68
STU0005,QUIZ0027,Chemistry,Chemical Bonding,27,20,7,74.07,24.26
STU0005,QUIZ0028,Physics,Laws of Motion,29,21,8,72.41,83.14
STU0005,QUIZ0029,Biology,Plant Physiology,23,13,10,56.52,34.96
STU0005,QUIZ0030,Chemistry,Atoms,18,8,10,44.44,63.85
STU0006,QUIZ0031,Physics,Motion,28,6,22,21.43,65.39
STU0006,QUIZ0032,Physics,Motion,25,22,3,88.0,88.34
STU0006,QUIZ0033,Biology,Plant Physiology,22,5,17,22.73,65.26
STU0006,QUIZ0034,Biology,Genetics,20,8,12,40.0,80.27
STU0006,QUIZ0035,Physics,Laws of Motion,23,16,7,69.57,31.67
STU0006,QUIZ0036,Mathematics,Algebra,26,7,19,26.92,72.0
STU0007,QUIZ0037,Chemistry,Atoms,15,15,0,100.0,28.94
STU0007,QUIZ0038,Biology,Human Body,25,8,17,32.0,76.45
STU0007,QUIZ0039,Chemistry,Organic Chemistry,25,14,11,56.0,22.68
STU0007,QUIZ0040,Physics,Motion,26,21,5,80.77,47.29
STU0007,QUIZ0041,Chemistry,Acids and Bases,29,7,22,24.14,49.4
STU0007,QUIZ0042,Chemistry,Acids and Bases,19,6,13,31.58,38.38
STU0008,QUIZ0043,Biology,Genetics,28,12,16,42.86,31.98
STU0008,QUIZ0044,Physics,Laws of Motion,17,5,12,29.41,24.73
STU0008,QUIZ0045,Chemistry,Organic Chemistry,25,12,13,48.0,24.29
STU0008,QUIZ0046,Chemistry,Organic Chemistry,16,11,5,68.75,72.6
STU0008,QUIZ0047,Chemistry,Organic Chemistry,30,7,23,23.33,76.39
STU0008,QUIZ0048,Biology,Cell,22,16,6,72.73,68.55
STU0009,QUIZ0049,Physics,Laws of Motion,26,22,4,84.62,53.02
STU0009,QUIZ0050,Physics,Electricity,20,14,6,70.0,52.55
STU0009,QUIZ0051,Physics,Work and Energy,26,10,16,38.46,48.86
STU0009,QUIZ0052,Biology,Plant Physiology,17,7,10,41.18,67.31
STU0009,QUIZ0053,Chemistry,Atoms,24,16,8,66.67,45.95
STU0009,QUIZ0054,Physics,Electricity,30,29,1,96.67,74.93
STU0010,QUIZ0055,Mathematics,Trigonometry,30,16,14,53.33,43.84
STU0010,QUIZ0056,Physics,Work and Energy,20,17,3,85.0,43.49
