Attendance_Percentage,Quiz_Average,Marks,Assignment_Average,Weekly_Study_Hours,Average_Session_Duration,Engagement_Score,Sessions_Per_Week,Performance
80.8,37.736666666666665,69.33333333333333,65.0,16.3,35,84.9,4,Average
67.4,61.53333333333333,83.0,40.8,23.5,52,98.5,9,High Performer
71.1,67.31333333333333,71.0,48.8,9.7,69,61.1,4,Average
66.7,82.23166666666667,60.66666666666666,33.4,19.8,169,85.4,2,Average
81.7,64.335,38.66666666666666,41.8,14.3,144,82.9,4,At Risk
79.0,44.775,69.33333333333333,34.0,11.9,92,83.7,12,Average
69.0,54.08166666666667,55.333333333333336,24.2,21.8,33,75.4,7,Average
83.0,47.51333333333333,61.66666666666666,45.2,33.6,71,100.0,13,Average
72.8,66.26666666666667,79.33333333333333,31.6,6.3,157,66.9,9,Average
73.6,56.51166666666666,54.0,50.0,17.3,141,99.9,5,Average
74.3,58.68833333333333,66.0,59.0,9.6,54,46.8,5,Average
75.5,71.37166666666667,66.0,33.0,11.0,158,57.0,2,Average
83.8,65.46666666666667,62.333333333333336,73.8,25.6,160,100.0,9,Average
70.1,68.92833333333333,45.333333333333336,49.2,16.3,46,92.9,5,At Risk
76.4,73.38833333333334,96.66666666666669,26.2,15.1,156,63.3,5,High Performer
76.5,64.66833333333334,69.33333333333333,38.6,11.6,54,50.8,2,Average
76.5,60.64666666666667,70.33333333333333,44.0,28.3,138,100.0,13,Average
72.4,52.656666666666666,58.0,45.0,18.5,166,99.5,12,Average
78.7,63.95333333333334,54.66666666666666,47.0,33.1,143,100.0,4,Average
73.8,55.48500000000001,68.0,51.6,18.6,59,100.0,5,Average
66.6,74.43833333333333,48.0,29.2,12.6,165,93.8,14,At Risk
69.1,49.498333333333335,59.0,41.2,30.7,61,100.0,13,Average
80.0,66.20666666666666,58.333333333333336,28.2,9.7,118,51.1,4,Average
79.7,62.64333333333334,62.333333333333336,52.2,12.3,149,64.9,2,Average
75.5,54.87166666666667,74.66666666666667,62.6,33.9,168,100.0,13,Average
81.0,47.071666666666665,47.333333333333336,17.2,33.0,102,100.0,7,At Risk
74.1,57.52,63.333333333333336,62.2,8.4,120,79.2,7,Average
81.2,48.825,42.66666666666666,59.8,32.0,32,100.0,6,At Risk
70.2,61.625,52.0,37.8,7.3,98,35.9,9,Average
68.8,50.03666666666667,72.0,50.2,32.9,139,100.0,14,Average
76.1,42.31666666666667,53.66666666666666,35.8,34.9,65,100.0,8,Average
78.3,62.56666666666666,67.0,36.2,13.9,116,83.7,5,Average
83.8,65.02833333333334,38.333333333333336,42.2,27.0,26,100.0,2,At Risk
74.7,70.02499999999999,42.0,60.2,21.8,99,100.0,5,At Risk
77.1,59.50666666666667,55.333333333333336,71.6,21.1,97,100.0,2,Average
81.6,64.83166666666666,72.33333333333333,30.8,25.9,54,100.0,7,Average
71.1,65.435,68.33333333333333,65.6,27.9,82,100.0,4,Average
73.8,73.98166666666667,65.33333333333333,60.0,7.7,161,47.1,8,Average
