Student_ID,Video_ID,Subject,Chapter,Video_Length,Watch_Time,Percentage_Completed,Number_of_Replays,Completion_Status
STU0001,VID0001,Physics,Work and Energy,27,21,77.78,4,Partially Completed
STU0001,VID0002,Biology,Genetics,55,21,38.18,5,Not Completed
STU0001,VID0003,Chemistry,Chemical Bonding,55,16,29.09,1,Not Completed
STU0001,VID0004,Mathematics,Trigonometry,40,23,57.5,4,Partially Completed
STU0001,VID0005,Chemistry,Atoms,68,30,44.12,4,Not Completed
STU0001,VID0006,Mathematics,Calculus,72,30,41.67,2,Not Completed
STU0001,VID0007,Biology,Human Body,20,13,65.0,3,Partially Completed
STU0001,VID0008,Biology,Plant Physiology,35,29,82.86,1,Partially Completed
STU0002,VID0009,Biology,Plant Physiology,53,14,26.42,3,Not Completed
STU0002,VID0010,Mathematics,Probability,79,10,12.66,3,Not Completed
STU0002,VID0011,Mathematics,Algebra,32,15,46.88,0,Not Completed
STU0002,VID0012,Chemistry,Organic Chemistry,36,21,58.33,3,Partially Completed
STU0002,VID0013,Chemistry,Chemical Bonding,81,13,16.05,0,Not Completed
STU0002,VID0014,Biology,Cell,86,70,81.4,4,Partially Completed
STU0002,VID0015,Physics,Electricity,39,38,97.44,3,Completed
STU0002,VID0016,Biology,Genetics,34,25,73.53,4,Partially Completed
STU0003,VID0017,Chemistry,Organic Chemistry,47,23,48.94,4,Not Completed
STU0003,VID0018,Biology,Cell,32,16,50.0,1,Partially Completed
STU0003,VID0019,Biology,Cell,29,21,72.41,1,Partially Completed
STU0003,VID0020,Chemistry,Atoms,38,23,60.53,0,Partially Completed
STU0003,VID0021,Biology,Genetics,44,36,81.82,3,Partially Completed
STU0003,VID0022,Biology,Human Body,42,40,95.24,1,Completed
STU0003,VID0023,Physics,Motion,89,61,68.54,0,Partially Completed
STU0003,VID0024,Chemistry,Atoms,33,29,87.88,1,Partially Completed
STU0004,VID0025,Mathematics,Calculus,29,22,75.86,2,Partially Completed
STU0004,VID0026,Biology,Genetics,72,65,90.28,2,Completed
STU0004,VID0027,Chemistry,Atoms,36,16,44.44,3,Not Completed
STU0004,VID0028,Mathematics,Probability,89,48,53.93,5,Partially Completed
STU0004,VID0029,Mathematics,Trigonometry,34,21,61.76,0,Partially Completed
STU0004,VID0030,Chemistry,Organic Chemistry,32,19,59.38,2,Partially Completed
STU0004,VID0031,Mathematics,Algebra,86,76,88.37,3,Partially Completed
STU0004,VID0032,Physics,Electricity,80,48,60.0,1,Partially Completed
STU0005,VID0033,Chemistry,Organic Chemistry,70,60,85.71,4,Partially Completed
STU0005,VID0034,Mathematics,Trigonometry,82,24,29.27,2,Not Completed
